Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Ir2_Sn2,n,1000.0,-1e+20,93.98592584942146,58123.676243918344,6.0224971410668715,0.08525151793358596
HfCr_Ir2_Sn2,n,1100.0,-1e+20,82.47782954723176,71168.95124267542,7.622475902972699,0.06986531773990842
HfCr_Ir2_Sn2,n,1200.0,-1e+20,74.64573853444871,84859.6494895009,9.33177436442596,0.06080345936332977
HfCr_Ir2_Sn2,n,1300.0,-1e+20,69.4950927441253,98972.77389077084,11.127985261448432,0.05584069700674352
HfCr_Ir2_Sn2,p,100.0,1e+17,674.2631224002848,27.54966361410148,5.13915539193739e-05,24.371562061505625
HfCr_Ir2_Sn2,p,200.0,1e+19,376.3170830150412,2411.1471951558765,0.009613677243269975,7.103494512601531
HfCr_Ir2_Sn2,p,300.0,1e+20,249.2729154702931,20500.31783513062,0.12673866425277927,3.0152471097011224
HfCr_Ir2_Sn2,p,400.0,1e+20,288.40799601478517,18959.539035254216,0.20719979339299446,3.0444794094872503
HfCr_Ir2_Sn2,p,500.0,1e+20,291.8083518673629,18894.58806720912,0.4781903596778582,1.6822946015830906
HfCr_Ir2_Sn2,p,600.0,1e+20,249.19737223694665,21309.51590457989,1.1092731255881103,0.7157696171310562
HfCr_Ir2_Sn2,p,700.0,1e+20,189.57600950424998,26988.257334069713,2.0646657600233653,0.32884396919302594
HfCr_Ir2_Sn2,p,800.0,1e+20,142.3734906685064,35479.07776190359,3.2283755255222046,0.17821182973028693
HfCr_Ir2_Sn2,p,900.0,1e+20,112.37552194859471,46075.08331223947,4.55220438014211,0.11503508827716981
HfCr_Ir2_Sn2,p,1000.0,1e+20,93.98592584942146,58123.676243918344,6.0224971410668715,0.08525151793358596
HfCr_Ir2_Sn2,p,1100.0,1e+20,82.47782954723176,71168.95124267542,7.622475902972699,0.06986531773990842
HfCr_Ir2_Sn2,p,1200.0,1e+20,74.64573853444871,84859.6494895009,9.33177436442596,0.06080345936332977
HfCr_Ir2_Sn2,p,1300.0,1e+20,69.4950927441253,98972.77389077084,11.127985261448432,0.05584069700674352
HfCr_Ni2_Al2,n,100.0,-1e+18,216.33995937915225,1253.2796208934851,0.003629278762178475,1.6162224617767567
HfCr_Ni2_Al2,n,200.0,1e+20,-145.49884650261802,38230.00699962155,0.1652399848952841,0.9795764308106324
HfCr_Ni2_Al2,n,300.0,1e+20,-190.72937384812533,33462.645591551525,0.2579778222678704,1.4155796874494202
HfCr_Ni2_Al2,n,400.0,-1e+20,146.92329779765848,75715.92208829267,0.7823632068083116,0.8356417396480691
HfCr_Ni2_Al2,n,500.0,-1e+20,162.4898348191451,76314.21415376378,1.2491932151639553,0.8064885731418523
HfCr_Ni2_Al2,n,600.0,-1e+20,161.16281123306226,83379.83404450039,2.1275702110927535,0.610742362267699
HfCr_Ni2_Al2,n,700.0,-1e+20,151.50986532229848,97359.80336354444,3.4016845911878417,0.4599022238739284
HfCr_Ni2_Al2,n,800.0,-1e+20,140.91173637259365,115974.90879357471,4.973248462400075,0.3704317493699563
HfCr_Ni2_Al2,n,900.0,-1e+20,131.672404873923,137716.09546089912,6.756814757088748,0.3180348653134861
HfCr_Ni2_Al2,n,1000.0,-1e+20,123.42679743361276,160893.35299741247,8.710730856214207,0.2813859626373823
HfCr_Ni2_Al2,n,1100.0,-1e+20,115.87950908949317,184675.53833989587,10.801932378935442,0.252530534531993
HfCr_Ni2_Al2,n,1200.0,-1e+20,108.8182841873179,208451.8281488166,13.010298601131089,0.22766875767309772
HfCr_Ni2_Al2,n,1300.0,-1e+20,102.05989777318297,231660.91987641048,15.331550473453353,0.20460691614508322
HfCr_Ni2_Al2,p,100.0,1e+18,216.33995937915225,1253.2796208934851,0.003629278762178475,1.6162224617767567
HfCr_Ni2_Al2,p,200.0,-1e+20,-145.49884650261802,38230.00699962155,0.1652399848952841,0.9795764308106324
HfCr_Ni2_Al2,p,300.0,-1e+20,-190.72937384812533,33462.645591551525,0.2579778222678704,1.4155796874494202
HfCr_Ni2_Al2,p,400.0,1e+20,146.92329779765848,75715.92208829267,0.7823632068083116,0.8356417396480691
HfCr_Ni2_Al2,p,500.0,1e+20,162.4898348191451,76314.21415376378,1.2491932151639553,0.8064885731418523
HfCr_Ni2_Al2,p,600.0,1e+20,161.16281123306226,83379.83404450039,2.1275702110927535,0.610742362267699
HfCr_Ni2_Al2,p,700.0,1e+20,151.50986532229848,97359.80336354444,3.4016845911878417,0.4599022238739284
HfCr_Ni2_Al2,p,800.0,1e+20,140.91173637259365,115974.90879357471,4.973248462400075,0.3704317493699563
HfCr_Ni2_Al2,p,900.0,1e+20,131.672404873923,137716.09546089912,6.756814757088748,0.3180348653134861
HfCr_Ni2_Al2,p,1000.0,1e+20,123.42679743361276,160893.35299741247,8.710730856214207,0.2813859626373823
HfCr_Ni2_Al2,p,1100.0,1e+20,115.87950908949317,184675.53833989587,10.801932378935442,0.252530534531993
HfCr_Ni2_Al2,p,1200.0,1e+20,108.8182841873179,208451.8281488166,13.010298601131089,0.22766875767309772
HfCr_Ni2_Al2,p,1300.0,1e+20,102.05989777318297,231660.91987641048,15.331550473453353,0.20460691614508322
HfCr_Ni2_Ga2,n,100.0,-1e+16,736.9948782265874,7.549603784934422,1.5161644617133488e-05,27.046233085654656
HfCr_Ni2_Ga2,n,200.0,-1e+17,653.4692677359507,67.94651565409201,0.0002866531036787414,20.243745722144695
HfCr_Ni2_Ga2,n,300.0,-1e+18,517.4796761944476,639.665676536591,0.005723954255491062,8.977692863143421
HfCr_Ni2_Ga2,n,400.0,-1e+19,375.88020794563835,5805.595195934926,0.05679056799441055,5.777360217650744
HfCr_Ni2_Ga2,n,500.0,1e+20,-315.5414645400237,15115.869033178293,0.16587094231667662,4.536758762509631
HfCr_Ni2_Ga2,n,600.0,-1e+20,258.95700082788585,46259.95170270827,0.5823893868478759,3.1959375648977746
HfCr_Ni2_Ga2,n,700.0,-1e+20,271.0334276931731,44087.94773398233,0.8469413886990367,2.676765225244643
HfCr_Ni2_Ga2,n,800.0,-1e+20,263.59898486826586,45345.3906960816,1.4809631180222713,1.7020266622847118
HfCr_Ni2_Ga2,n,900.0,-1e+20,240.92375524487352,51130.84300327019,2.5393090318547533,1.0518871574467132
HfCr_Ni2_Ga2,n,1000.0,-1e+20,214.6337380663446,60785.06884925865,3.931139304459753,0.7123188837690014
HfCr_Ni2_Ga2,n,1100.0,-1e+20,190.9593382524107,73170.9384902713,5.569787460771027,0.5269561644874291
HfCr_Ni2_Ga2,n,1200.0,-1e+20,170.95153903555945,87351.11691635549,7.4115378705412,0.4133209381357721
HfCr_Ni2_Ga2,n,1300.0,-1e+20,154.0656962455103,102661.65685357852,9.434944969243508,0.33575628564035065
HfCr_Ni2_Ga2,p,100.0,1e+16,736.9948782265874,7.549603784934422,1.5161644617133488e-05,27.046233085654656
HfCr_Ni2_Ga2,p,200.0,1e+17,653.4692677359507,67.94651565409201,0.0002866531036787414,20.243745722144695
HfCr_Ni2_Ga2,p,300.0,1e+18,517.4796761944476,639.665676536591,0.005723954255491062,8.977692863143421
HfCr_Ni2_Ga2,p,400.0,1e+19,375.88020794563835,5805.595195934926,0.05679056799441055,5.777360217650744
